n,k,w,msgs
33658,16829,242,"KRA2"
15658,7829,166,"KRA2"
34508,25881,162,"KRA1"
59127,39418,124,"MRA"
67316,50487,98,"MRA"
96207,64138,306,"KRA1"
13894,6947,166,"KRA2"
123665,98932,330,"KRA1"
31028,23271,162,"KRA1"
24826,12413,138,"KRA1"
18406,9203,158,"KRA2"
39145,31316,166,"KRA1"
67316,16829,484,"KRA3"
76865,61492,250,"KRA1"
53626,26813,206,"KRA1"
123665,98932,113,"MRA"
34508,8627,324,"KRA3"
27609,9203,237,"KRA3"
109748,82311,322,"KRA1"
64138,32069,306,"KRA2"
34735,6947,415,"KRA3"
96207,64138,165,"MRA"
49466,24733,330,"KRA2"
76865,61492,85,"MRA"
20074,10037,154,"KRA2"
15514,7757,162,"KRA2"
27609,18406,83,"MRA"
59127,39418,230,"KRA1"
27226,13613,130,"MRA"
24826,12413,131,"MRA"
39418,19709,230,"KRA2"
34508,25881,66,"MRA"
34735,27788,57,"MRA"
123665,24733,825,"KRA3"
31028,23271,66,"MRA"
59127,19709,345,"KRA3"
86902,43451,261,"MRA"
86902,43451,270,"KRA1"
76865,15373,625,"KRA3"
17254,8627,162,"KRA2"
30111,20074,154,"KRA1"
96207,32069,459,"KRA3"
30746,15373,250,"KRA2"
27609,18406,158,"KRA1"
54874,27437,322,"KRA2"
34735,27788,166,"KRA1"
27226,13613,138,"KRA1"
109748,82311,131,"MRA"
53626,26813,195,"MRA"
30111,10037,231,"KRA3"
67316,50487,242,"KRA1"
31028,7757,324,"KRA3"
109748,27437,644,"KRA3"
39145,31316,57,"MRA"
30111,20074,83,"MRA"
39145,7829,415,"KRA3"
